"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         243,      -8.702748332,      -5.387182552,       -5.84447957,      -3.253983047
          0,           0,         244,      -8.704047718,      -5.388215566,      -5.845460544,      -3.255052081
          0,           0,         245,      -8.705291179,      -5.389265051,      -5.846440197,      -3.256080114
          0,           0,         246,      -8.706473199,      -5.390326047,      -5.847427502,      -3.257054144
          0,           0,         247,      -8.707603799,       -5.39139295,      -5.848432978,      -3.258000502
          0,           0,         248,      -8.708683278,      -5.392463921,      -5.849455484,      -3.258916995
          0,           0,         249,      -8.709722324,      -5.393537258,      -5.850495454,      -3.259808834
          0,           0,         250,      -8.710743416,      -5.394611506,      -5.851556733,      -3.260693208
          0,           0,         251,      -8.711753385,      -5.395685883,      -5.852648036,      -3.261571466
          0,           0,         252,      -8.712750751,       -5.39676023,      -5.853774273,      -3.262446621
          0,           0,         253,      -8.713742196,      -5.397836533,      -5.854927122,      -3.263323958
          0,           0,         254,      -8.714766838,      -5.398918152,      -5.856095696,      -3.264232344
          0,           0,         255,      -8.715857447,      -5.400007543,      -5.857278943,      -3.265195828
          0,           0,         256,      -8.716995242,      -5.401107131,      -5.858480568,      -3.266203947
          0,           0,         257,       -8.71819554,      -5.402219553,      -5.859696983,      -3.267267849
          0,           0,         258,      -8.719458207,      -5.403347813,      -5.860926371,       -3.26838676
          0,           0,         259,      -8.720790665,      -5.404495408,      -5.862165788,        -3.2695696
          0,           0,         260,      -8.722163575,      -5.405663197,      -5.863411041,      -3.270785801
          0,           0,         261,      -8.723590255,      -5.406852922,      -5.864660275,      -3.272050343
          0,           0,         262,      -8.725072055,      -5.408066698,      -5.865915823,      -3.273365927
          0,           0,         263,      -8.726594189,      -5.409305725,      -5.867177235,      -3.274719502
          0,           0,         264,      -8.728143552,      -5.410570319,      -5.868446032,      -3.276099964
          0,           0,         265,      -8.729715023,      -5.411860053,      -5.869724437,      -3.277504137
          0,           0,         266,      -8.731287979,      -5.413174506,      -5.871014674,       -3.27891408
          0,           0,         267,      -8.732860956,      -5.414512507,      -5.872316976,      -3.280329839
          0,           0,         268,      -8.734427726,       -5.41587267,      -5.873633547,      -3.281747245
          0,           0,         269,      -8.735987731,      -5.417253678,      -5.874965396,      -3.283166197
          0,           0,         270,      -8.737539445,      -5.418654067,      -5.876312807,      -3.284585651
          0,           0,         271,      -8.739079389,      -5.420072146,      -5.877677362,        -3.2860032
          0,           0,         272,      -8.740606538,      -5.421506641,      -5.879057954,      -3.287417286
          0,           0,         273,      -8.742119706,      -5.422956786,      -5.880454409,      -3.288823317
          0,           0,         274,       -8.74364106,      -5.424421456,      -5.881862193,      -3.290246288
          0,           0,         275,       -8.74516675,       -5.42589992,      -5.883283599,       -3.29167978
          0,           0,         276,      -8.746697449,      -5.427391924,      -5.884717778,       -3.29312241
          0,           0,         277,      -8.748239031,      -5.428897736,      -5.886161069,      -3.294578034
          0,           0,         278,      -8.749796955,      -5.430417664,      -5.887610618,      -3.296052654
          0,           0,         279,      -8.751385654,      -5.431952737,       -5.88906237,      -3.297554381
          0,           0,         280,      -8.753008186,      -5.433503008,      -5.890518911,       -3.29908476
          0,           0,         281,      -8.754654558,      -5.435068538,      -5.891982016,      -3.300637034
          0,           0,         282,      -8.756315869,      -5.436650482,      -5.893448273,      -3.302203756
          0,           0,         283,      -8.758056826,      -5.438248945,      -5.894914449,      -3.303839636
          0,           0,         284,      -8.759803644,       -5.43986596,      -5.896377846,      -3.305483942
          0,           0,         285,       -8.76156713,      -5.441502017,      -5.897835637,      -3.307147466
          0,           0,         286,      -8.763371925,      -5.443158316,      -5.899282627,      -3.308856449
          0,           0,         287,      -8.765192614,      -5.444834916,      -5.900726537,      -3.310571689
          0,           0,         288,      -8.767038311,      -5.446530832,      -5.902176564,      -3.312307733
          0,           0,         289,      -8.768894593,      -5.448245533,       -5.90363404,      -3.314054601
          0,           0,         290,      -8.770757084,      -5.449979461,      -5.905098083,      -3.315809934
          0,           0,         291,      -8.772624188,      -5.451732628,      -5.906568745,      -3.317572134
          0,           0,         292,       -8.77449834,      -5.453504719,       -5.90804767,       -3.31934373
          0,           0,         293,       -8.77637693,      -5.455295343,      -5.909537706,      -3.321122821
          0,           0,         294,      -8.778256594,      -5.457104111,      -5.911041058,      -3.322907097
          0,           0,         295,      -8.780139206,      -5.458930327,      -5.912559601,      -3.324699497
          0,           0,         296,      -8.782019313,      -5.460773634,      -5.914095058,      -3.326493669
          0,           0,         297,      -8.783899138,      -5.462633447,      -5.915649297,      -3.328292071
          0,           0,         298,      -8.785782214,      -5.464509662,      -5.917222802,      -3.330098584
          0,           0,         299,      -8.787667976,      -5.466402065,      -5.918815152,      -3.331912208
          0,           0,         300,      -8.789558807,      -5.468310576,      -5.920425465,      -3.333734585
          0,           0,         301,      -8.791457704,      -5.470235322,      -5.922052831,      -3.335568397
          0,           0,         302,      -8.793365309,      -5.472176507,       -5.92369587,      -3.337413262
          0,           0,         303,      -8.795287635,      -5.474134337,      -5.925352877,      -3.339274624
          0,           0,         304,      -8.797226765,      -5.476109161,      -5.927022463,      -3.341153883
          0,           0,         305,        -8.7991838,      -5.478101368,      -5.928702819,      -3.343051404
          0,           0,         306,       -8.80116053,      -5.480111374,      -5.930392372,       -3.34496837
          0,           0,         307,      -8.803157648,      -5.482139723,      -5.932089404,      -3.346904891
          0,           0,         308,       -8.80517719,      -5.484186836,      -5.933792478,      -3.348862544
          0,           0,         309,      -8.807220225,      -5.486253038,      -5.935500974,      -3.350842368
          0,           0,         310,      -8.809284892,      -5.488338496,      -5.937214024,      -3.352841537
          0,           0,         311,      -8.811371174,      -5.490443552,      -5.938931433,      -3.354861276
          0,           0,         312,      -8.813480379,      -5.492568457,      -5.940653444,      -3.356902732
          0,           0,         313,      -8.815605868,      -5.494713042,      -5.942380198,       -3.35895871
          0,           0,         314,      -8.817747538,      -5.496877239,      -5.944111936,      -3.361029585
          0,           0,         315,      -8.819904502,      -5.499060946,      -5.945850369,       -3.36311509
          0,           0,         316,      -8.822075133,      -5.501263997,      -5.947596933,      -3.365214077
          0,           0,         317,      -8.824257761,      -5.503486107,      -5.949353133,      -3.367325002
          0,           0,         318,      -8.826449563,      -5.505726978,      -5.951120304,      -3.369445712
          0,           0,         319,       -8.82865069,      -5.507986323,      -5.952900239,      -3.371577195
          0,           0,         320,       -8.83085996,       -5.51026372,      -5.954694844,      -3.373718164
          0,           0,         321,      -8.833074363,      -5.512558885,      -5.956505852,      -3.375866022
          0,           0,         322,      -8.835295531,      -5.514871421,      -5.958334171,       -3.37802268
          0,           0,         323,      -8.837526473,      -5.517200968,       -5.96018112,      -3.380191182
          0,           0,         324,       -8.83976979,       -5.51954839,      -5.962048142,      -3.382373642
          0,           0,         325,      -8.842013959,      -5.521912841,      -5.963935628,      -3.384560136
          0,           0,         326,      -8.844265848,      -5.524294071,      -5.965844255,      -3.386756475
          0,           0,         327,      -8.846530045,      -5.526692139,      -5.967774548,      -3.388967224
          0,           0,         328,      -8.848808051,      -5.529107312,      -5.969726761,      -3.391193102
          0,           0,         329,      -8.851099123,      -5.531539824,      -5.971700431,      -3.393433268
          0,           0,         330,      -8.853403062,      -5.533989895,      -5.973695105,      -3.395687446
          0,           0,         331,      -8.855730774,      -5.536458866,      -5.975711378,      -3.397966002
          0,           0,         332,      -8.858067125,      -5.538945515,      -5.977747708,      -3.400254091
